seed,sample_set,method,stratum_column,stratum_value,sample_count,MAE,MSE,regret_to_oracle,oracle_label_accuracy,weight_entropy,normalized_weight_entropy,mean_max_weight
17,diagnostic_balanced,revin_aux_only_fusion_huber_kl_hard_top1,oracle_model,NaiveForecaster,4000,0.490074192608583,4.690234951715939,0.20156819681062507,0.164,1.2028800553338952,0.747391400463948,0.5026367710493505
17,diagnostic_balanced,revin_aux_only_fusion_huber_kl_raw_soft_fusion,oracle_model,NaiveForecaster,4000,0.4884542938386876,4.587262228174805,0.1999482980407297,0.164,1.2028800553338952,0.747391400463948,0.5026367710493505
18,pilot_selection,revin_aux_only_fusion_huber_kl_hard_top1,oracle_model,CrossFormer,2893,0.5970850675803829,1.0462108766201927,0.1570977895977597,0.0003456619426201175,1.150063322266616,0.7145745190799375,0.5006603169948058
18,pilot_selection,revin_aux_only_fusion_huber_kl_raw_soft_fusion,oracle_model,CrossFormer,2893,0.5109697313555296,0.8081616213861864,0.07098245337290637,0.0003456619426201175,1.150063322266616,0.7145745190799375,0.5006603169948058
18,pilot_selection,revin_aux_only_fusion_huber_kl_hard_top1,oracle_model,PatchTST,4822,0.4871412910074297,0.9326534968282519,0.11533033774331021,0.22003318125259227,1.1463768475595129,0.712283983559044,0.4764569616265833
18,pilot_selection,revin_aux_only_fusion_huber_kl_raw_soft_fusion,oracle_model,PatchTST,4822,0.4329034408250432,0.7864575058927333,0.06109248756092374,0.22003318125259227,1.1463768475595129,0.712283983559044,0.4764569616265833
18,pilot_selection,revin_aux_only_fusion_huber_kl_hard_top1,oracle_model,DLinear,9290,0.36544428003018453,1.349972658301482,0.01577504217792335,0.8780409041980625,1.1417048325631827,0.7093810974270377,0.50656496147165
18,pilot_selection,revin_aux_only_fusion_huber_kl_raw_soft_fusion,oracle_model,DLinear,9290,0.37946424453704247,1.352433007271221,0.029795006684781265,0.8780409041980625,1.1417048325631827,0.7093810974270377,0.50656496147165
18,pilot_selection,revin_aux_only_fusion_huber_kl_hard_top1,oracle_model,ES,10499,0.1764843919465774,1.500928746120936,0.0827778964791751,0.004952852652633584,1.5004835306456648,0.9323028363214995,0.2884141583379217
18,pilot_selection,revin_aux_only_fusion_huber_kl_raw_soft_fusion,oracle_model,ES,10499,0.16096114701974498,1.4894919269756626,0.0672546515523427,0.004952852652633584,1.5004835306456648,0.9323028363214995,0.2884141583379217
