sample_set,variant,stratum_column,stratum_value,sample_count,MAE_mean,MAE_std,MSE_mean,regret_mean,oracle_label_accuracy_mean,mean_max_weight_mean,MAE_delta_vs_baseline,MSE_delta_vs_baseline,regret_delta_vs_baseline
round2_test_small,film_mean_patch_aux,oracle_model,PatchTST,1012.0,0.584284335700611,0.009138336499468928,3.906798520303465,0.06400304521514989,0.7664690382081686,0.6819150503405783,0.0,0.0,0.0
round2_test_small,film_panel_mean_aux,oracle_model,CrossFormer,476.0,0.6564657498132802,0.006057107431962378,1.7944405745842975,0.10505684704196316,0.1463585434173669,0.5999292003131714,-0.0015054051046904382,0.0029826882994046233,-0.0015054051046904382
round2_test_small,film_panel_mean_aux,oracle_model,DLinear,613.0,0.6110453289093337,0.0037148690711851736,1.9336602408106776,0.09078822614698016,0.3284393692224034,0.6349212086398425,-0.0008357849147813123,-0.015124344407105195,-0.0008357849147813123
round2_test_small,film_panel_mean_aux,oracle_model,ES,2135.0,0.21216349055555175,0.0024976900670584086,5.040419757217966,0.042705065330244506,0.5420765027322404,0.3586221274666075,-0.002317004619259655,-0.012470155317859444,-0.002317004619259662
round2_test_small,film_panel_mean_aux,oracle_model,PatchTST,1012.0,0.5817373294980855,0.002916519870331754,3.8618386618505944,0.06145603901262447,0.7516469038208169,0.6939576160167595,-0.002547006202525459,-0.04495985845287054,-0.0025470062025254245
round2_diagnostic_balanced_small,film_global_panel_mean_aux,group_name,LOW_LOW_HIGH,177.0,0.2255054381438145,0.0006504703616492683,0.18420222350769064,0.029199504214466068,0.45762711864406774,0.5261597098772135,-0.0011087715128750841,-0.001797159152775396,-0.0011087715128750703
round2_diagnostic_balanced_small,film_mean_patch_aux,group_name,LOW_LOW_HIGH,177.0,0.22661420965668957,0.0010617221319167778,0.18599938266046603,0.030308275727341138,0.6007532956685498,0.5246328513108179,0.0,0.0,0.0
round2_diagnostic_balanced_small,film_panel_mean_aux,group_name,LOW_LOW_HIGH,177.0,0.22556772339738732,0.0030621714955325896,0.18472381829934612,0.029261789468038934,0.6045197740112994,0.5110770869445891,-0.0010464862593022595,-0.0012755643611199186,-0.001046486259302204
round2_selection_small,film_global_panel_mean_aux,group_name,LOW_LOW_HIGH,210.0,0.1496974943373869,0.0015497089412134417,0.13869164426541186,0.029028945725728967,0.38730158730158726,0.4149151729212867,-0.001835570707067219,-0.0023279793766406986,-0.0018355707070671634
round2_selection_small,film_mean_patch_aux,group_name,LOW_LOW_HIGH,210.0,0.15153306504445413,0.003751226129671939,0.14101962364205256,0.03086451643279613,0.6,0.42143595062551037,0.0,0.0,0.0
round2_selection_small,film_panel_mean_aux,group_name,LOW_LOW_HIGH,210.0,0.1513064524389818,0.002627908700328286,0.14366572161586966,0.03063790382732377,0.6031746031746031,0.3967476353758857,-0.0002266126054723261,0.0026460979738170964,-0.00022661260547236078
round2_test_small,film_global_panel_mean_aux,group_name,LOW_LOW_HIGH,1001.0,0.2396782236756794,0.0030713564371528746,3.8807922265951427,0.027746973641755032,0.3886113886113886,0.4145535981946891,-0.0008986758026646724,-0.05387964690684077,-0.0008986758026646689
round2_test_small,film_mean_patch_aux,group_name,LOW_LOW_HIGH,1001.0,0.24057689947834407,0.0020656678896897127,3.9346718735019834,0.0286456494444197,0.604062604062604,0.4189687507513003,0.0,0.0,0.0
round2_test_small,film_panel_mean_aux,group_name,LOW_LOW_HIGH,1001.0,0.24015079718951504,0.001582385289999089,3.9265308909461836,0.0282195471555907,0.605061605061605,0.39477037003029986,-0.0004261022888290278,-0.00814098255579987,-0.00042610228882900003
round2_diagnostic_balanced_small,film_global_panel_mean_aux,error_gap_quantile,q5,942.0,0.6525406762761694,0.015051492078731434,13.28269457032489,0.20405454332448417,0.6372965322009908,0.7358192663273319,-0.005054903861763993,-2.6765828906196862,-0.005054903861764076
round2_diagnostic_balanced_small,film_mean_patch_aux,error_gap_quantile,q5,942.0,0.6575955801379334,0.02562839989052481,15.959277460944577,0.20910944718624824,0.6390658174097664,0.7028933071702065,0.0,0.0,0.0
round2_diagnostic_balanced_small,film_panel_mean_aux,error_gap_quantile,q5,942.0,0.6527213766764349,0.012559914885226741,12.242303337479058,0.20423524372474958,0.6468506723283793,0.7222048829336666,-0.004874203461498472,-3.716974123465519,-0.004874203461498666
round2_selection_small,film_global_panel_mean_aux,error_gap_quantile,q5,811.0,0.620595737205652,0.03782134428740935,8.517913448060511,0.1756376158524784,0.6987258528565556,0.7271506340842752,0.009123933601018597,1.3274283958823432,0.009123933601018597
round2_selection_small,film_mean_patch_aux,error_gap_quantile,q5,811.0,0.6114718036046334,0.04957083782982478,7.190485052178168,0.1665136822514598,0.6785861076859844,0.6867390242173649,0.0,0.0,0.0
round2_selection_small,film_panel_mean_aux,error_gap_quantile,q5,811.0,0.6276086340598317,0.03304277036068834,8.73888921481595,0.1826505127066581,0.6962597616111795,0.7091927970149025,0.016136830455198314,1.548404162637782,0.016136830455198314
round2_test_small,film_global_panel_mean_aux,error_gap_quantile,q5,1084.0,0.6868714248424371,0.0016210540469057903,12.345673839686492,0.15340537248046468,0.6749692496924969,0.7584457601366741,-0.006126252572252633,-0.07568968502596896,-0.006126252572252633
round2_test_small,film_mean_patch_aux,error_gap_quantile,q5,1084.0,0.6929976774146898,0.007698718420739639,12.421363524712461,0.1595316250527173,0.6731242312423125,0.7427967557039795,0.0,0.0,0.0
round2_test_small,film_panel_mean_aux,error_gap_quantile,q5,1084.0,0.6867219989923058,0.0026550859207304916,12.362114922067327,0.15325594663033335,0.6780442804428044,0.7598757870486156,-0.006275678422383968,-0.059248602645133985,-0.006275678422383968
