comparison,left_variant,right_variant,sample_set,metric,left_value,right_value,delta_left_minus_right,lower_is_better,status
cls_mean_concat_plus_aux - round0_timefuse,cls_mean_concat_plus_aux,round0_timefuse,pilot_test,raw_soft_MAE_mean,0.4529417645746718,0.5352202928627874,-0.0822785282881156,True,ok
cls_mean_concat_plus_aux - round0_timefuse,cls_mean_concat_plus_aux,round0_timefuse,pilot_test,raw_soft_MSE_mean,245.4594745087435,568.5024010523083,-323.0429265435648,True,ok
cls_mean_concat_plus_aux - round0_timefuse,cls_mean_concat_plus_aux,round0_timefuse,pilot_test,raw_soft_regret_mean,0.1126568405619105,0.1949353688500262,-0.08227852828811572,True,ok
cls_mean_concat_plus_aux - round0_timefuse,cls_mean_concat_plus_aux,round0_timefuse,pilot_test,raw_soft_MAE_std,0.0394445598595353,0.0,0.0394445598595353,True,ok
cls_mean_concat_plus_aux - round0_timefuse,cls_mean_concat_plus_aux,round0_timefuse,pilot_test,hard_top1_MAE_mean,0.4673195251496339,0.5474324226661174,-0.08011289751648348,True,ok
cls_mean_concat_plus_aux - round0_timefuse,cls_mean_concat_plus_aux,round0_timefuse,pilot_test,hard_top1_MSE_mean,245.62578100531164,568.559824744805,-322.9340437394934,True,ok
cls_mean_concat_plus_aux - round0_timefuse,cls_mean_concat_plus_aux,round0_timefuse,pilot_test,hard_top1_regret_mean,0.1270346011368727,0.2071474986533563,-0.0801128975164836,True,ok
cls_mean_concat_plus_aux - round0_timefuse,cls_mean_concat_plus_aux,round0_timefuse,pilot_test,hard_top1_oracle_label_accuracy_mean,0.43236,0.58724,-0.15487999999999996,False,ok
cls_mean_concat_plus_aux - round0_timefuse,cls_mean_concat_plus_aux,round0_timefuse,pilot_test,weight_entropy_mean,1.1123453698185082,0.7304382873762053,0.38190708244230287,False,ok
cls_mean_concat_plus_aux - round0_timefuse,cls_mean_concat_plus_aux,round0_timefuse,pilot_test,normalized_weight_entropy_mean,0.6911390226180009,0.4538468183609244,0.23729220425707648,False,ok
cls_mean_concat_plus_aux - round0_timefuse,cls_mean_concat_plus_aux,round0_timefuse,pilot_test,mean_max_weight_mean,0.5212591012748082,0.701544363599817,-0.18028526232500874,False,ok
mean_patch_plus_aux - visual_mean_patch_only,mean_patch_plus_aux,visual_mean_patch_only,pilot_test,raw_soft_MAE_mean,0.5161075230654948,0.4529755004271802,0.06313202263831458,True,ok
mean_patch_plus_aux - visual_mean_patch_only,mean_patch_plus_aux,visual_mean_patch_only,pilot_test,raw_soft_MSE_mean,486.1025190318065,303.4864915174055,182.61602751440097,True,ok
mean_patch_plus_aux - visual_mean_patch_only,mean_patch_plus_aux,visual_mean_patch_only,pilot_test,raw_soft_regret_mean,0.1758225990527336,0.1126905764144191,0.0631320226383145,True,ok
mean_patch_plus_aux - visual_mean_patch_only,mean_patch_plus_aux,visual_mean_patch_only,pilot_test,raw_soft_MAE_std,0.0480812905096002,0.0446248065212108,0.0034564839883894014,True,ok
mean_patch_plus_aux - visual_mean_patch_only,mean_patch_plus_aux,visual_mean_patch_only,pilot_test,hard_top1_MAE_mean,0.5312468607292358,0.4634898344164466,0.06775702631278918,True,ok
mean_patch_plus_aux - visual_mean_patch_only,mean_patch_plus_aux,visual_mean_patch_only,pilot_test,hard_top1_MSE_mean,486.3468289209466,334.7514845000663,151.59534442088034,True,ok
mean_patch_plus_aux - visual_mean_patch_only,mean_patch_plus_aux,visual_mean_patch_only,pilot_test,hard_top1_regret_mean,0.1909619367164745,0.1232049104036854,0.06775702631278908,True,ok
mean_patch_plus_aux - visual_mean_patch_only,mean_patch_plus_aux,visual_mean_patch_only,pilot_test,hard_top1_oracle_label_accuracy_mean,0.4291955555555555,0.3377822222222222,0.09141333333333329,False,ok
mean_patch_plus_aux - visual_mean_patch_only,mean_patch_plus_aux,visual_mean_patch_only,pilot_test,weight_entropy_mean,1.121208686493701,1.1438724509206166,-0.022663764426915645,False,ok
mean_patch_plus_aux - visual_mean_patch_only,mean_patch_plus_aux,visual_mean_patch_only,pilot_test,normalized_weight_entropy_mean,0.6966461175245534,0.7107279015050606,-0.01408178398050719,False,ok
mean_patch_plus_aux - visual_mean_patch_only,mean_patch_plus_aux,visual_mean_patch_only,pilot_test,mean_max_weight_mean,0.5149888529605335,0.5054013593627347,0.009587493597798868,False,ok
