stage,result_role,sample_set,variant,method,method_kind,seed_count,sample_count,MAE_mean,MAE_std,MSE_mean,MSE_std,regret_to_oracle_mean,regret_to_oracle_std,oracle_label_accuracy_mean,oracle_label_accuracy_std,weight_entropy_mean,weight_entropy_std,normalized_weight_entropy_mean,normalized_weight_entropy_std,mean_max_weight_mean,mean_max_weight_std,source_file,selection_status,final_test_status
P2d_concat,diagnostic,diagnostic_balanced,cls_mean_concat_plus_aux,cls_mean_concat_plus_aux_raw_soft_fusion,raw_soft_fusion,3,20000,0.3465144493432412,0.00145751636033,1.3704372058731178,0.0335172520616293,0.0410242065385647,0.00145751636033,0.4118,0.0738953313816238,1.035812453905889,0.0178862606604246,0.6435864510348566,0.0111133559448062,0.5547795598621169,0.0064424111274265,experiment_summaries/visual_router_v2_round1/p2d_concat/round1_concat_diagnostic_summary.csv,not_selection,not_final_test
P2d_concat,diagnostic,diagnostic_balanced,mean_patch_plus_aux,mean_patch_plus_aux_raw_soft_fusion,raw_soft_fusion,3,20000,0.3466384671782269,0.0016401119563618,1.3785664959175454,0.0209559628677308,0.0411482243735504,0.0016401119563618,0.4049333333333333,0.0941103386102362,1.042022956598317,0.0132892803894204,0.6474452560438717,0.0082570939611032,0.5527754525768259,0.0072375391012434,experiment_summaries/visual_router_v2_round1/p2d_concat/round1_concat_diagnostic_summary.csv,not_selection,not_final_test
P2d_concat,diagnostic,diagnostic_balanced,cls_mean_concat_plus_aux,cls_mean_concat_plus_aux_hard_top1,hard_top1,3,20000,0.3718435416352745,0.0015480139418214,1.466458357371234,0.0130001006097084,0.0663532988305981,0.0015480139418214,0.4118,0.0738953313816238,1.035812453905889,0.0178862606604246,0.6435864510348566,0.0111133559448062,0.5547795598621169,0.0064424111274265,experiment_summaries/visual_router_v2_round1/p2d_concat/round1_concat_diagnostic_summary.csv,not_selection,not_final_test
P2d_concat,diagnostic,diagnostic_balanced,mean_patch_plus_aux,mean_patch_plus_aux_hard_top1,hard_top1,3,20000,0.3721005441499023,0.002317232314184,1.4687225826990653,0.011988702347055,0.0666103013452258,0.002317232314184,0.4049333333333333,0.0941103386102362,1.042022956598317,0.0132892803894204,0.6474452560438717,0.0082570939611032,0.5527754525768259,0.0072375391012434,experiment_summaries/visual_router_v2_round1/p2d_concat/round1_concat_diagnostic_summary.csv,not_selection,not_final_test
P2e_FiLM,diagnostic,diagnostic_balanced,film_mean_patch_aux,film_mean_patch_aux_raw_soft_fusion,raw_soft_fusion,3,20000,0.3458088198535539,0.0012760690333355,1.394350214786401,0.0121151914723234,0.0403185770488774,0.0012760690333355,0.45395,0.0736450269875706,1.0603348072233274,0.0211472391113704,0.6588230461581026,0.0131395205424862,0.542973350947847,0.0091465695029331,experiment_summaries/visual_router_v2_round1/p2e_film/round1_film_diagnostic_summary.csv,not_selection,not_final_test
P2e_FiLM,diagnostic,diagnostic_balanced,film_cls_mean_concat_aux,film_cls_mean_concat_aux_raw_soft_fusion,raw_soft_fusion,3,20000,0.3468378217725534,0.0045847593707296,1.4072213836549636,0.003518918870107,0.0413475789678769,0.0045847593707296,0.4007,0.1001322500496218,1.0495593152768852,0.0368320114398966,0.6521278583319693,0.0228850150365823,0.5479552797459065,0.0180086362706138,experiment_summaries/visual_router_v2_round1/p2e_film/round1_film_diagnostic_summary.csv,not_selection,not_final_test
P2e_FiLM,diagnostic,diagnostic_balanced,film_mean_patch_aux,film_mean_patch_aux_hard_top1,hard_top1,3,20000,0.3704675463009708,0.0018336785592826,1.4659198938448226,0.0034996990182429,0.0649773034962943,0.0018336785592826,0.45395,0.0736450269875706,1.0603348072233274,0.0211472391113704,0.6588230461581026,0.0131395205424862,0.542973350947847,0.0091465695029331,experiment_summaries/visual_router_v2_round1/p2e_film/round1_film_diagnostic_summary.csv,not_selection,not_final_test
P2e_FiLM,diagnostic,diagnostic_balanced,film_cls_mean_concat_aux,film_cls_mean_concat_aux_hard_top1,hard_top1,3,20000,0.3712483275854253,0.0045647217669861,1.469447755242017,0.0042834909400223,0.0657580847807488,0.0045647217669861,0.4007,0.1001322500496218,1.0495593152768852,0.0368320114398966,0.6521278583319693,0.0228850150365823,0.5479552797459065,0.0180086362706138,experiment_summaries/visual_router_v2_round1/p2e_film/round1_film_diagnostic_summary.csv,not_selection,not_final_test
P2e_FiLM_final_test_extension,frozen_final_test,pilot_test,film_mean_patch_aux,film_mean_patch_aux,raw_soft_primary,3,75000,0.4178239136798498,0.0006571035266904,183.35398509131247,0.1571468171568525,0.0775389896670886,0.0006571035266905,0.51556,,1.1222319548589617,,0.6972819058862673,,0.5145078966481155,,experiment_summaries/visual_router_v2_round1/p2e_film_final_test_extension/round1_film_final_test_extension_comparison.csv,not_used_for_selection,frozen_final_eval
P2e_FiLM_final_test_extension,frozen_final_test,pilot_test,film_cls_mean_concat_aux,film_cls_mean_concat_aux,raw_soft_primary,3,75000,0.4195683064347192,0.0018501177372985,183.46384554568647,0.1328089493724051,0.079283382421958,0.0018501177372985,0.4266177777777777,,1.1129164979766648,,0.6914938888199771,,0.5175679433654414,,experiment_summaries/visual_router_v2_round1/p2e_film_final_test_extension/round1_film_final_test_extension_comparison.csv,not_used_for_selection,frozen_final_eval
P2d_final_test_extension,frozen_final_test,pilot_test,visual_cls_mean_concat,visual_cls_mean_concat,raw_soft_primary,3,75000,0.4430617988970811,0.0214192547880282,244.23848718010012,90.9162809488704,0.1027768748843199,0.0214192547880282,0.5173288888888888,,1.1220432741412136,,0.6971646701262432,,0.5243373336940342,,experiment_summaries/visual_router_v2_round1/p2e_film_final_test_extension/round1_film_final_test_extension_comparison.csv,not_used_for_selection,frozen_final_eval
