variant,visual_input_mode,visual_dim,sample_set,method_kind,seed,method,stratum_column,stratum_kind,stratum_value,sample_count,MAE,MSE,regret_to_oracle,oracle_label_accuracy,weight_entropy,normalized_weight_entropy,mean_max_weight,dataset_name,oracle_model,error_gap_quantile,cluster,group_name,forecastability_cat,season_strength_cat,trend_strength_cat,cv_cat,missing_ratio_cat
current_rgb_3view,mean_patch,768,staged_selection,hard_top1,16,current_rgb_3view_hard_top1,tsf_cell,tsf_cell,TEST_DATA_MIN|CrossFormer|q3|6|HIGH_LOW_HIGH|medium|weak|strong|stable|complete,252,0.4594660860796769,0.3481509761056966,0.09619867307917467,0.2777777777777778,0.8996129525559289,0.5589609440002177,0.592014703603964,TEST_DATA_MIN,CrossFormer,q3,6.0,HIGH_LOW_HIGH,medium,weak,strong,stable,complete
current_rgb_3view,mean_patch,768,staged_selection,hard_top1,16,current_rgb_3view_hard_top1,tsf_cell,tsf_cell,TEST_DATA_MIN|CrossFormer|q3|2|HIGH_HIGH_LOW|low|strong|strong|moderate|complete,3,0.6626370946566263,0.6967074374357859,0.09252724051475524,0.0,1.143033742904663,0.7102067867914835,0.5191372533639272,TEST_DATA_MIN,CrossFormer,q3,2.0,HIGH_HIGH_LOW,low,strong,strong,moderate,complete
current_rgb_3view,mean_patch,768,staged_selection,hard_top1,16,current_rgb_3view_hard_top1,tsf_cell,tsf_cell,TEST_DATA_MIN|NaiveForecaster|q3|2|HIGH_HIGH_LOW|low|strong|strong|moderate|complete,38,0.1073318202244608,0.15266636641401993,0.02350111540995146,0.8947368421052632,0.2877600627314103,0.17879537473383697,0.8998614220242751,TEST_DATA_MIN,NaiveForecaster,q3,2.0,HIGH_HIGH_LOW,low,strong,strong,moderate,complete
current_rgb_3view,mean_patch,768,staged_selection,hard_top1,16,current_rgb_3view_hard_top1,tsf_cell,tsf_cell,TEST_DATA_MIN|PatchTST|q3|2|HIGH_HIGH_LOW|low|strong|strong|moderate|complete,9,0.6895058022605048,0.8311691648430295,1.2335811384723961e-17,1.0,1.0641755792829726,0.6612094508277045,0.5658886101510789,TEST_DATA_MIN,PatchTST,q3,2.0,HIGH_HIGH_LOW,low,strong,strong,moderate,complete
current_rgb_3view,mean_patch,768,staged_selection,hard_top1,16,current_rgb_3view_hard_top1,tsf_cell,tsf_cell,TEST_DATA_MIN|DLinear|q3|2|HIGH_HIGH_LOW|low|strong|strong|moderate|complete,5,1.0715918481349944,1.640194481611252,0.06801038980484007,0.4,1.1270528197288514,0.7002772748470306,0.5208633661270141,TEST_DATA_MIN,DLinear,q3,2.0,HIGH_HIGH_LOW,low,strong,strong,moderate,complete
current_rgb_3view,mean_patch,768,staged_selection,hard_top1,16,current_rgb_3view_hard_top1,tsf_cell,tsf_cell,TEST_DATA_MIN|ES|q3|2|HIGH_HIGH_LOW|low|strong|strong|moderate|complete,19,0.4416517292051331,1.259826411341285,0.1487167217082491,0.0,1.3062997899557416,0.8116496801376343,0.42578398553948654,TEST_DATA_MIN,ES,q3,2.0,HIGH_HIGH_LOW,low,strong,strong,moderate,complete
current_rgb_3view,mean_patch,768,staged_selection,hard_top1,16,current_rgb_3view_hard_top1,tsf_cell,tsf_cell,TEST_DATA_MIN|DLinear|q3|20|LOW_HIGH_LOW|low|moderate|moderate|stable|complete,31,0.45395322144031525,0.33688817581822794,0.06880307149502536,0.1935483870967742,0.8487290278557809,0.5273449834316007,0.6322447282652701,TEST_DATA_MIN,DLinear,q3,20.0,LOW_HIGH_LOW,low,moderate,moderate,stable,complete
current_rgb_3view,mean_patch,768,staged_selection,hard_top1,16,current_rgb_3view_hard_top1,tsf_cell,tsf_cell,TEST_DATA_MIN|PatchTST|q3|20|LOW_HIGH_LOW|low|moderate|moderate|stable|complete,18,0.40006091859605575,0.3068824681556887,0.02080276525682874,0.6666666666666666,1.0383635097079806,0.6451715098487006,0.5530701180299123,TEST_DATA_MIN,PatchTST,q3,20.0,LOW_HIGH_LOW,low,moderate,moderate,stable,complete
current_rgb_3view,mean_patch,768,staged_selection,hard_top1,16,current_rgb_3view_hard_top1,tsf_cell,tsf_cell,TEST_DATA_MIN|NaiveForecaster|q3|20|LOW_HIGH_LOW|low|moderate|moderate|stable|complete,14,0.4900517538189888,0.4383874402514526,0.059918113052845015,0.7142857142857143,0.7538317399365562,0.4683819854898112,0.6865881383419037,TEST_DATA_MIN,NaiveForecaster,q3,20.0,LOW_HIGH_LOW,low,moderate,moderate,stable,complete
current_rgb_3view,mean_patch,768,staged_selection,hard_top1,16,current_rgb_3view_hard_top1,tsf_cell,tsf_cell,TEST_DATA_MIN|ES|q3|20|LOW_HIGH_LOW|low|moderate|moderate|stable|complete,7,0.6449300604207175,0.950096166559628,0.2915691744003977,0.0,1.0804749471800668,0.6713368083749499,0.6049445271492004,TEST_DATA_MIN,ES,q3,20.0,LOW_HIGH_LOW,low,moderate,moderate,stable,complete
current_rgb_3view,mean_patch,768,staged_selection,hard_top1,16,current_rgb_3view_hard_top1,tsf_cell,tsf_cell,TEST_DATA_MIN|CrossFormer|q3|20|LOW_HIGH_LOW|low|moderate|moderate|stable|complete,4,0.5307004004716873,1.0535590089857578,0.051657222211360904,0.0,0.8932865560054779,0.5550301373004913,0.6627324223518372,TEST_DATA_MIN,CrossFormer,q3,20.0,LOW_HIGH_LOW,low,moderate,moderate,stable,complete
current_rgb_3view,mean_patch,768,staged_selection,hard_top1,16,current_rgb_3view_hard_top1,tsf_cell,tsf_cell,TEST_DATA_MIN|ES|q3|18|LOW_HIGH_HIGH|medium|moderate|weak|stable|complete,244,0.06872809013174307,0.24279109629079595,0.018380637438566973,0.03278688524590164,1.4946783034772169,0.92869581129463,0.31206867990435144,TEST_DATA_MIN,ES,q3,18.0,LOW_HIGH_HIGH,medium,moderate,weak,stable,complete
current_rgb_3view,mean_patch,768,staged_selection,hard_top1,16,current_rgb_3view_hard_top1,tsf_cell,tsf_cell,TEST_DATA_MIN|DLinear|q3|18|LOW_HIGH_HIGH|medium|moderate|weak|stable|complete,72,0.50477742890103,0.8466387160846757,0.07479283234311475,0.2222222222222222,0.8056857451382611,0.500600692195197,0.6747281928029325,TEST_DATA_MIN,DLinear,q3,18.0,LOW_HIGH_HIGH,medium,moderate,weak,stable,complete
current_rgb_3view,mean_patch,768,staged_selection,hard_top1,16,current_rgb_3view_hard_top1,tsf_cell,tsf_cell,TEST_DATA_MIN|CrossFormer|q3|18|LOW_HIGH_HIGH|medium|moderate|weak|stable|complete,12,0.5808322864274184,1.2704996666871011,0.03376739844679829,0.08333333333333333,1.3056975503762562,0.8112754921118418,0.4370386203130086,TEST_DATA_MIN,CrossFormer,q3,18.0,LOW_HIGH_HIGH,medium,moderate,weak,stable,complete
current_rgb_3view,mean_patch,768,staged_selection,hard_top1,16,current_rgb_3view_hard_top1,tsf_cell,tsf_cell,TEST_DATA_MIN|NaiveForecaster|q3|18|LOW_HIGH_HIGH|medium|moderate|weak|stable|complete,248,0.267903427272329,0.3150541097047314,0.01631496164707409,0.8306451612903226,0.6234988374335151,0.38740160283933,0.7531885891672103,TEST_DATA_MIN,NaiveForecaster,q3,18.0,LOW_HIGH_HIGH,medium,moderate,weak,stable,complete
current_rgb_3view,mean_patch,768,staged_selection,hard_top1,16,current_rgb_3view_hard_top1,tsf_cell,tsf_cell,TEST_DATA_MIN|ES|q3|8|HIGH_LOW_LOW|low|weak|strong|stable|complete,488,0.5939059857752358,0.9309348653046128,0.16834760551172934,0.06147540983606557,1.1566893052248681,0.7186914609867285,0.5092455695887081,TEST_DATA_MIN,ES,q3,8.0,HIGH_LOW_LOW,low,weak,strong,stable,complete
current_rgb_3view,mean_patch,768,staged_selection,hard_top1,16,current_rgb_3view_hard_top1,tsf_cell,tsf_cell,TEST_DATA_MIN|CrossFormer|q3|8|HIGH_LOW_LOW|low|weak|strong|stable|complete,316,0.6409344266793584,0.8133650084491819,0.14123721227427072,0.07278481012658228,1.0879147541296632,0.6759594297861751,0.5375989704758306,TEST_DATA_MIN,CrossFormer,q3,8.0,HIGH_LOW_LOW,low,weak,strong,stable,complete
current_rgb_3view,mean_patch,768,staged_selection,hard_top1,16,current_rgb_3view_hard_top1,tsf_cell,tsf_cell,TEST_DATA_MIN|PatchTST|q3|8|HIGH_LOW_LOW|low|weak|strong|stable|complete,643,0.4615002515411488,0.5505720025426701,0.0140383943312832,0.8911353032659409,0.986132843590821,0.6127187746633452,0.5971860993612981,TEST_DATA_MIN,PatchTST,q3,8.0,HIGH_LOW_LOW,low,weak,strong,stable,complete
