sample_set,layout_name,stratum_column,stratum_value,sample_count,raw_soft_MAE,raw_soft_MSE,raw_soft_regret,hard_top1_MAE,entropy,mean_max_weight,oracle_label_accuracy
staged_selection,spatial_panel_3view,forecastability_cat,high,84307,0.13306642757422354,0.15181356359273648,0.012623182273142913,0.14427734901816272,1.3225669200400605,0.39911140648253707,0.22001731766045524
staged_selection,spatial_panel_3view,forecastability_cat,low,171181,0.3834953348241943,1.731878146575395,0.04429066447556137,0.40407859581270916,1.0663771213852982,0.5500565241818602,0.4592799434516681
staged_selection,spatial_panel_3view,forecastability_cat,medium,6656,0.26147667268986796,0.2832976778595119,0.03283566585366475,0.27289163972303554,0.9246241891446123,0.6059382916898287,0.5100661057692307
staged_test,spatial_panel_3view,forecastability_cat,low,134312,0.562148875007126,341.2146467121969,0.10200935872641531,0.5813589803855496,1.097037912327357,0.5352739783858087,0.3680013699446066
staged_test,spatial_panel_3view,forecastability_cat,high,101694,0.24041917502262494,2.168214013233306,0.037634521506962615,0.25074983443512716,1.2414633901535734,0.4394084403596602,0.25362361594587685
staged_test,spatial_panel_3view,forecastability_cat,medium,26138,0.3161508251109408,0.5447644477720526,0.048426923084410045,0.32586212552642446,0.9232658734229277,0.6063964019901296,0.4766240722319994
staged_diagnostic,current_rgb_3view,forecastability_cat,low,164598,0.3866917666552417,1.555462239258626,0.048661204871747445,0.4087228625109533,1.0563017040386098,0.5456431098922842,0.4553700530990656
staged_diagnostic,current_rgb_3view,forecastability_cat,high,90658,0.13306443361918951,0.18065340956696485,0.012644656588291198,0.14503263199800845,1.3474898581959738,0.38444896337204476,0.2142557744490282
staged_diagnostic,current_rgb_3view,forecastability_cat,medium,6888,0.26232905465146045,0.2966178699079902,0.03302249787528454,0.27180791323542014,0.9212660471839521,0.6083003237852167,0.5110336817653891
staged_selection,current_rgb_3view,forecastability_cat,high,84307,0.13355636992282854,0.1574231192486414,0.013113124621747888,0.14450755432233575,1.3462834065356708,0.3854963763937988,0.21662495403703133
staged_selection,current_rgb_3view,forecastability_cat,low,171181,0.3911135531470352,2.1182800036788225,0.05190888279840223,0.41121816611126555,1.0505733754071345,0.5507884557600748,0.4581291147966188
staged_selection,current_rgb_3view,forecastability_cat,medium,6656,0.2631534003009025,0.28770627133381343,0.03451239346469928,0.2734136933470819,0.9128886475874214,0.6132971004609806,0.5040564903846154
staged_test,current_rgb_3view,forecastability_cat,low,134312,0.5749703556795013,341.06313306284864,0.1148308393987907,0.5947305392427783,1.0578232951363387,0.5523387889636107,0.35411579010066113
staged_test,current_rgb_3view,forecastability_cat,high,101694,0.24311699369005782,2.1627354970402894,0.04033234017439548,0.25258283473223486,1.264959682266084,0.4351725485256073,0.24489153735716954
staged_test,current_rgb_3view,forecastability_cat,medium,26138,0.32039100250308106,0.5689601961353576,0.05266710047655033,0.3307546807490135,0.9235911410255888,0.6104941040662866,0.4675568138342643
staged_diagnostic,spatial_panel_3view,season_strength_cat,moderate,53214,0.3627162211347753,0.6445713854879388,0.04581807707884256,0.38264390673656623,1.0961532689327296,0.5338819708005751,0.428947269515541
staged_diagnostic,spatial_panel_3view,season_strength_cat,strong,161819,0.2512027480428738,0.9737694438815583,0.02030548764471491,0.2708958931169382,1.1609066641177672,0.4911539052079681,0.38254469499873317
staged_diagnostic,spatial_panel_3view,season_strength_cat,weak,47111,0.3507300893578886,1.6504523334741632,0.05549856170152417,0.36310806817589003,1.200927737141805,0.47234358685606115,0.2918426694402581
staged_selection,spatial_panel_3view,season_strength_cat,strong,158941,0.2594412113139667,1.2413465988502175,0.02288751839244275,0.27721943730067644,1.146270118837638,0.5002858296277947,0.3947502532386231
staged_selection,spatial_panel_3view,season_strength_cat,moderate,56093,0.37202162588174476,0.6469259427991667,0.04725284819383974,0.39132682323909146,1.0949108735856408,0.5363760406111798,0.42910880145472696
