variant,visual_input_mode,visual_dim,sample_set,method_kind,seed,method,selected_model,count,ratio
film_cls_aux,cls,768,round2_selection_expanded,hard_top1,16,film_cls_aux_hard_top1,DLinear,3725,0.3725
film_cls_aux,cls,768,round2_selection_expanded,hard_top1,16,film_cls_aux_hard_top1,ES,394,0.0394
film_cls_aux,cls,768,round2_selection_expanded,hard_top1,16,film_cls_aux_hard_top1,NaiveForecaster,694,0.0694
film_cls_aux,cls,768,round2_selection_expanded,hard_top1,16,film_cls_aux_hard_top1,PatchTST,4147,0.4147
film_cls_aux,cls,768,round2_selection_expanded,raw_soft_fusion,16,film_cls_aux_raw_soft_fusion,CrossFormer,1040,0.104
film_cls_aux,cls,768,round2_selection_expanded,raw_soft_fusion,16,film_cls_aux_raw_soft_fusion,DLinear,3725,0.3725
film_cls_aux,cls,768,round2_selection_expanded,raw_soft_fusion,16,film_cls_aux_raw_soft_fusion,ES,394,0.0394
film_cls_aux,cls,768,round2_selection_expanded,raw_soft_fusion,16,film_cls_aux_raw_soft_fusion,NaiveForecaster,694,0.0694
film_cls_aux,cls,768,round2_selection_expanded,raw_soft_fusion,16,film_cls_aux_raw_soft_fusion,PatchTST,4147,0.4147
film_cls_aux,cls,768,round2_selection_expanded,hard_top1,17,film_cls_aux_hard_top1,CrossFormer,361,0.0361
film_cls_aux,cls,768,round2_selection_expanded,hard_top1,17,film_cls_aux_hard_top1,DLinear,4787,0.4787
film_cls_aux,cls,768,round2_selection_expanded,hard_top1,17,film_cls_aux_hard_top1,ES,3179,0.3179
film_cls_aux,cls,768,round2_selection_expanded,hard_top1,17,film_cls_aux_hard_top1,NaiveForecaster,375,0.0375
film_cls_aux,cls,768,round2_selection_expanded,hard_top1,17,film_cls_aux_hard_top1,PatchTST,1298,0.1298
film_cls_aux,cls,768,round2_selection_expanded,raw_soft_fusion,17,film_cls_aux_raw_soft_fusion,CrossFormer,361,0.0361
film_cls_aux,cls,768,round2_selection_expanded,raw_soft_fusion,17,film_cls_aux_raw_soft_fusion,DLinear,4787,0.4787
film_cls_aux,cls,768,round2_selection_expanded,raw_soft_fusion,17,film_cls_aux_raw_soft_fusion,ES,3179,0.3179
film_cls_aux,cls,768,round2_selection_expanded,raw_soft_fusion,17,film_cls_aux_raw_soft_fusion,NaiveForecaster,375,0.0375
film_cls_aux,cls,768,round2_selection_expanded,raw_soft_fusion,17,film_cls_aux_raw_soft_fusion,PatchTST,1298,0.1298
